train label,class id,species
0,10024,Allium cratericola Eastw.
1,10025,Allium crenulatum Wiegand
2,10026,Allium crispum Greene
3,10056,Allium dichlamydeum Greene
4,100616,Taraxacum laeticolor Dahlst.
5,10073,Allium drummondii Regel
6,100783,Taraxacum magellanicum Comm. ex Sch.Bip.
7,100824,Taraxacum megalorrhizon (Forssk.) Hand.-Mazz.
8,10121,Allium fistulosum L.
9,10126,Allium flavum L.
10,10129,Allium forrestii Diels
11,101917,Telekia speciosa (Schreb.) Baumg.
12,101940,Tephroseris integrifolia (L.) Holub
13,101949,Tephroseris palustris (L.) Rchb.
14,101984,Tetradymia canescens DC.
15,101986,Tetradymia filifolia Greene
16,102013,Tetramolopium filiforme Sherff
17,102027,Tetramolopium rockii Sherff
18,10203,Allium hyalinum Curran
19,102035,Tetraneuris acaulis (Pursh) Greene
20,102040,Tetraneuris linearifolia (Hook.) Greene
21,102041,Tetraneuris scaposa (DC.) Greene
22,102064,Thelesperma megapotamicum (Spreng.) Kuntze
23,102065,Thelesperma muelleri (Sherff) Melchert
24,102092,Thurovia triflora Rose
25,102103,Thymophylla pentachaeta (DC.) Small
26,102104,Thymophylla setifolia Lag.
27,102119,Tilesia baccata (L.) Pruski
28,102143,Tithonia tubaeformis (Jacq.) Cass.
29,102152,Tolpis barbata (L.) Gaertn.
30,102188,Townsendia condensata Parry ex Parry
31,102190,Townsendia exscapa (Richardson) Porter
32,102197,Townsendia hookeri Beaman
33,102200,Townsendia lepotes (A.Gray) Osterh.
34,102247,Tragopogon crocifolius L.
35,102251,Tragopogon dubius Scop.
36,102271,Tragopogon hybridus R.Lesson
37,102308,Tragopogon orientalis L.
38,102316,Tragopogon porrifolius L.
39,102317,Tragopogon pratensis L.
40,102358,Traversia baccharoides Hook.f.
41,102568,Tripolium pannonicum (Jacq.) Dobrocz.
42,102612,Trixis californica Kellogg
43,102623,Trixis inula Crantz
44,102673,Tussilago farfara L.
45,102679,Tyrimnus leucographus (L.) Cass.
46,102714,Ursinia anthemoides (L.) Poir.
47,102770,Venegasia carpesioides DC.
48,102872,Verbesina gigantea Jacq.
49,102882,Verbesina hastata (Kellogg) Kellogg ex Curran
50,102884,Verbesina helianthoides Michx.
51,10292,Allium libani Boiss.
52,102942,Verbesina microptera DC.
53,102973,Verbesina pallens Benth.
54,103074,Verbesina walteri Shinners
55,1031,Crossandra infundibuliformis (L.) Nees
56,10313,Allium lusitanicum Lam.
57,103195,Vernonia angustifolia Michx.
